"table_catalog","table_schema","table_name","column_name"
"orders-db","public","dim_store","long"
"orders-db","public","dim_store","staff_numbers"
"orders-db","public","dim_store","lat"
"orders-db","public","dim_store","date_added"
"orders-db","public","dim_store","sale_price"
"orders-db","public","dim_store","store_code"
"orders-db","public","dim_store","country"
"orders-db","public","dim_store","full_region"
"orders-db","public","dim_store","country_region"
"orders-db","public","dim_store","date_opened"
"orders-db","public","dim_store","store_type"
"orders-db","public","dim_store","country_code"
"orders-db","public","dim_store","region"
